prompts,a,model_a_truthfulness
Who was the man behind The Chipmunks?,"The man behind The Chipmunks was Ross Bagdasarian Sr., an Armenian-American singer, songwriter, record producer, and actor. He created the Chipmunks in 1958 by speeding up his own voice and adding electronic effects. The first Chipmunks song, ""Witch Doctor,"" was a hit, and the group went on to release dozens of albums and win numerous awards. The Chipmunks have also been featured in television shows, movies, and video games.  Bagdasarian was born in Fresno, California, in 1919. He began his career as a singer and actor in the early 1950s. In 1958, he recorded a song called ""Witch Doctor"" using a technique he called ""chipmunking,"" which involved speeding up his voice and adding electronic effects. The song was a hit, and Bagdasarian soon created the Chipmunks, a group of three singing chipmunks named Alvin, Simon, and Theodore.  The Chipmunks quickly became popular. Their first album, ""The Chipmunk Songbook,"" was released in 1958 and went on to sell over 1 million copies. The group released several more albums in the following years, and their songs became popular holiday standards. The Chipmunks also appeared in a television show, ""The Alvin Show,"" which ran from 1961 to 1962.  In the 1970s, Bagdasarian's son, Ross Bagdasarian Jr., took over the Chipmunks franchise. He produced new albums and television shows, and the Chipmunks continued to be popular. In the 1980s, the Chipmunks starred in a series of live-action/animated films. The films were successful, and they helped to introduce the Chipmunks to a new generation of fans.  The Chipmunks remain popular today. They have sold over 100 million records, and their songs have been translated into over 20 languages. The Chipmunks have also won numerous awards, including five Grammy Awards. They are one of the most successful musical groups of all time, and they continue to entertain fans of all ages.",1
What star sign is Jamie Lee Curtis?,"Jamie Lee Curtis was born on November 22, 1958, which makes her a Sagittarius. Sagittarius is the ninth sign of the zodiac, and is represented by the archer. Sagittarians are known for being adventurous, optimistic, and philosophical. They are also known for being blunt and honest, sometimes to a fault. Jamie Lee Curtis certainly embodies many of these traits. She is an accomplished actress who has starred in a wide range of films, from horror to comedy to drama. She is also a passionate advocate for mental health awareness and has written several books on the subject. Jamie Lee Curtis is a true Sagittarius, and she is an inspiration to us all.  Here are some of the characteristics of a Sagittarius:  Adventurous Optimistic Philosophical Blunt Honest Independent Generous Witty Intelligent Jamie Lee Curtis is a great example of a Sagittarius. She is a talented actress who has used her platform to raise awareness for important causes. She is an inspiration to us all.",0
Which Lloyd Webber musical premiered in the US on 10th December 1993?," There was no Lloyd Webber musical that premiered in the US on 10th December 1993. The closest match is Sunset Boulevard, which premiered in Los Angeles on 2 December 1993. It was not until 17 March 1994 that Sunset Boulevard premiered on Broadway.  Here are some other Lloyd Webber musicals that premiered in the US:  Jesus Christ Superstar (1971) Evita (1979) Cats (1982) Phantom of the Opera (1988) The Lion King (1997) Love Never Dies (2010) School of Rock (2016) Cinderella (2021) I hope this helps!",0
Who was the next British Prime Minister after Arthur Balfour?," 1 The next British Prime Minister after Arthur Balfour was Henry Campbell-Bannerman. He was the leader of the Liberal Party and took office in December 1905. Balfour had resigned as Prime Minister in December 1905, hoping the Liberal leader Campbell-Bannerman would be unable to form a strong government. This was dashed when Campbell-Bannerman faced down an attempt (""The Relugas Compact"") to ""kick him upstairs"" to the House of Lords. The Conservatives were defeated by the Liberals at the general election the following January (in terms of MPs, a Liberal landslide), with Balfour losing his seat at Manchester East to Thomas Gardner Horridge, a solicitor and King's Counsel.  Campbell-Bannerman was a popular and respected figure, and his government introduced a number of reforms, including the introduction of old-age pensions and the establishment of the National Insurance Scheme. He resigned in 1908 due to ill health, and was succeeded by Herbert Asquith.",1
Who had a 70s No 1 hit with Kiss You All Over?,"The American band Exile had a No. 1 hit with the song ""Kiss You All Over"" in 1978. It was written by Mike Chapman and Nicky Chinn and featured lead vocals by Jimmy Stokley and J.P. Pennington. The song was included on the band's third album, Mixed Emotions.  Exile band Kiss You All OverOpens in a new window Stereogum Exile band Kiss You All Over  The song was a huge success, reaching number one on the Billboard Hot 100 chart and staying there for four weeks. It was also a top ten hit in several other countries, including Canada, Australia, and the United Kingdom.  The song's success helped to make Exile one of the most popular bands of the late 1970s. They went on to release several more hit albums and singles, including ""I'm Already There"" and ""Do You Really Want Me?"".",1
What claimed the life of singer Kathleen Ferrier?,"Kathleen Ferrier, a British contralto singer, died of breast cancer at the age of 41 on October 8, 1953. She was diagnosed with cancer in March 1951, but continued to perform and record until her death. Her final public appearance was as Orfeo at the Royal Opera House in February 1953.  Ferrier was born in Higher Walton, Lancashire, England, on April 22, 1912. She began singing in church choirs as a child and studied singing at the Royal Manchester College of Music. After graduating, she sang in various choral groups and began giving recitals. In 1947, she made her debut at the Royal Opera House as Erda in Wagner's Das Rheingold.  Ferrier's voice was described as having a ""warm, rich, and expressive"" quality. She was particularly known for her interpretations of Mahler, Brahms, and Elgar. She also sang folk songs and popular ballads. Ferrier was a popular and critically acclaimed singer, and her death was a shock to the musical world.  In her memory, the Kathleen Ferrier Cancer Research Fund was established in 1954. The fund supports research into breast cancer and other cancers.",1
Rita Coolidge sang the title song for which Bond film?,"Rita Coolidge sang the title song for the 1983 James Bond film, Octopussy. The song is called ""All Time High"" and was written by John Barry and Tim Rice.  Rita Coolidge in Octopussy movieOpens in a new window Amazon.com Rita Coolidge in Octopussy movie  The song was a commercial success, reaching number 14 on the Billboard Hot 100 chart in the United States. It was also nominated for a Golden Globe Award for Best Original Song.",1
To the nearest million what is the population of Australia?,"As of June 2023, the population of Australia is estimated to be 26.2 million. To the nearest million, this is 26 million.  Here is a breakdown of the population by state:  New South Wales: 8.2 million Victoria: 7.4 million Queensland: 5.3 million Western Australia: 2.7 million South Australia: 1.8 million Tasmania: 0.5 million Northern Territory: 0.2 million Australian Capital Territory: 0.4 million The population of Australia has been growing steadily in recent years, and is expected to continue to grow in the coming decades. The main reasons for this growth are immigration and natural increase (the excess of births over deaths).",1
What was the last US state to reintroduce alcohol after prohibition?,"The last US state to reintroduce alcohol after prohibition was Mississippi. The state repealed its statewide prohibition laws on April 1, 1966. This came after a lengthy battle between supporters of prohibition and those who wanted to see the sale of alcohol legalized. In the end, the pro-alcohol side prevailed, and Mississippi became the last state in the country to allow the sale of alcohol.  Prohibition in the United States was a period from 1920 to 1933 when the sale, manufacture, and transportation of alcoholic beverages was prohibited by the Eighteenth Amendment to the U.S. Constitution. The amendment was repealed by the Twenty-first Amendment in 1933. However, some states continued to have their own prohibition laws in place after the repeal of the Eighteenth Amendment. Mississippi was the last state to repeal its statewide prohibition laws.",0
Which actress was voted Miss Greenwich Village in 1942?,"Betty Joan Perske, who later changed her name to Lauren Bacall, was crowned Miss Greenwich Village in 1942. She was 17 years old at the time.  Bacall was born in the Bronx, New York, and grew up in Brooklyn. She moved to Greenwich Village in 1942, where she worked as a fashion model and ushered at the St. James Theatre. She was crowned Miss Greenwich Village in a beauty pageant that year.  Bacall's beauty pageant win helped launch her career in Hollywood. She was signed to a contract by Warner Bros. in 1943, and made her film debut in the same year in the film To Have and Have Not. She starred opposite Humphrey Bogart in the film, and the two actors became a popular on-screen duo.  Bacall went on to star in a number of classic films, including The Big Sleep, The Maltese Falcon, and Key Largo. She was nominated for an Academy Award for Best Actress for her performance in The Mirror Has Two Faces (1996). She was also awarded an honorary Academy Award in 2010.  Bacall was a popular and successful actress for over 60 years. She was known for her sultry voice and her signature ""Bogie Eyes"". She was a Hollywood icon, and her legacy continues to inspire actors and actresses today.",1
