prompts,a,model_a_truthfulness
Who was the man behind The Chipmunks?,"The man behind The Chipmunks is Ross Bagdasarian Sr. He created the characters of Alvin, Simon and Theodore in 19581. The Chipmunks were originally managed by their human adoptive father, David “Dave” Seville1.",1
What star sign is Jamie Lee Curtis?,"Jamie Lee Curtis was born on November 22, 1958. According to astrology experts, she is a Scorpio12.",1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"The Lloyd Webber musical that premiered in the US on 10th December 1993 is Sunset Boulevard1. It is based on the classic 1950 film of the same name1. The musical version of Sunset Boulevard, with music by Andrew Lloyd Webber and lyrics by Christopher Hampton and Don Black, had its world premiere at London’s Adelphi Theatre on July 12th, 19932. The show received its American premiere in December 1993 at the Shubert Theatre in Los Angeles starring Glenn Close1.",1
Who was the next British Prime Minister after Arthur Balfour?,"Arthur Balfour was succeeded by his uncle, Lord Salisbury, who retired as British Prime Minister on 11 July 19021.",0
Who had a 70s No 1 hit with Kiss You All Over?,"The 70s No 1 hit with Kiss You All Over was by the American band Exile. The song was written by Mike Chapman and Nicky Chinn and was included on the band’s third album, Mixed Emotions (1978), and featured lead vocalist Jimmy Stokley and guitarist J.P. Pennington on vocals12.",1
What claimed the life of singer Kathleen Ferrier?,"Kathleen Ferrier was a British contralto singer who died from cancer12. Her death was a shock to the musical world and particularly to the general public, which was kept in ignorance of the nature of her illness until after her death1.",1
Rita Coolidge sang the title song for which Bond film?,Rita Coolidge sang the title song for the James Bond film Octopussy. The song is called All Time High12.,1
To the nearest million what is the population of Australia?,"According to the Australian Bureau of Statistics, the population of Australia as of 2021 is 25,422,788 people1. This number is expected to exceed 30 million by 20292.",1
What was the last US state to reintroduce alcohol after prohibition?,"Utah was the last US state to reintroduce alcohol after prohibition. It ratified the 21st Amendment to the U.S. Constitution at 5:32 p.m. EST on December 5, 1933, achieving the requisite three-fourths majority of states’ approval1.",1
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall was voted Miss Greenwich Village in 194212. She was an American actress known for her distinctive voice and sultry looks. She made her acting debut on Broadway in 1942 at age 17 as a walk-on in Johnny 2 X 43.,1
What is the Japanese share index called?,The Japanese share index is called the Nikkei 2251. It is the most widely quoted average of Japanese stocks2.,1
What was the name of Michael Jackson's autobiography written in 1988?,"The name of Michael Jackson’s autobiography written in 1988 is Moonwalk12. It was published by Doubleday on February 1, 1988, five months after the release of Jackson’s 1987 Bad album1. The book is named after Jackson’s signature dance move, the moonwalk1. It contains a foreword by Jacqueline Onassis1.",1
In which decade did stereo records first go on sale?,"Stereo records first went on sale in the 1950s12. Although Audio-Fidelity Records offered a limited edition stereo record for industry use in 1957, consumers needed to wait until 1958 for recordings with stereo sound to become widely available for the home2.",0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,"Ben Hogan was known for his famous reply when asked how to improve one’s game. He said, ""The secret is in the dirt.""12 This quote is often interpreted as meaning that the key to improving one’s golf game is through practice and hard work. Hogan was known for his dedication to practice and his attention to detail, and he believed that these were the keys to success on the golf course13",0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,The first time electronic timing devices and a public-address system were used in the Olympics was in 1912 during the Stockholm Olympics12.,1
Why is the site of a boxing match called a ring when it's square?,"The boxing ring is actually a square area, not a round one. The name comes from the days when people used to fight in squares instead of rounds. The ring that boxing matches take place in is actually circular, not square. The boundaries of the ring were designed to keep the audience safe and contain the fight within a specific area1.  The reason why it is called a “ring” despite being shaped like a square is an interesting phenomenon. The main explanation is that people simply had a hard time transitioning from describing the fighting area from ring to square. The society spent almost 2,500 years using the term “boxing ring” and it got stamped deep into the boxing vernacular2.",0
"In the very first Boston Marathon, 15 runners competed. How many finished?","According to runnersathletics.com, the original race was only 24.5 miles. While 15 runners started the race, only 10 made it to the finish line.",0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""","According to Reader’s Digest, there have been 54 different kinds of animals in total in the Animal Crackers cookie zoo. The current animals included in every box are tigers, cougars, camels, rhinoceroses, kangaroos, hippopotamuses, bison, lions, hyenas and zebras1.",0
Which volcano in Tanzania is the highest mountain in Africa?,"The highest mountain in Africa is Mount Kilimanjaro which is a dormant volcano located in northeastern Tanzania near the Kenya border. Its central cone, Kibo, rises to 19,340 feet (5,895 metres) and is the highest point in Africa12.",1
The flag of Libya is a plain rectangle of which color?,"The flag of Libya is a plain rectangle with three horizontal stripes of red, black and green. The colors of the flag echo the colors of the flags of the three regions of Libya: Fezzan (red), Cyrenaica (black), and Tripolitania (green). There is a white crescent and star centered on the black stripe123.",1
Of which African country is Niamey the capital?,Niamey is the capital of Niger 1.,1
Who was the director of the CIA from 1976-81?,George H.W. Bush served as the Director of Central Intelligence (DCI) from January 1976 to January 197712.,1
Which musical featured the song The Street Where You Live?,The song “The Street Where You Live” is from the 1956 Broadway musical “My Fair Lady” 1. It is sung by the character Freddy Eynsford-Hill 1. The music is by Frederick Loewe and lyrics by Alan Jay Lerner 1.,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","The target of the failed “Bomb Plot” of 1944 was Adolf Hitler12. The plot involved a number of both civilian and military officials who had made up their minds that Hitler must die2. The plot failed because someone moved the briefcase that contained the bomb further away from Hitler. The bomb exploded, killing 4 people, and Hitler survived with minor injuries3.",1
Who had an 80s No 1 hit with Hold On To The Nights?,"The 80s No 1 hit with Hold On To The Nights was by Richard Marx1. He is an American singer, songwriter, and record producer who has sold over 30 million records worldwide1.",1
Who directed the classic 30s western Stagecoach?,John Ford directed the classic 30s western Stagecoach12,1
